z6-18472,Port2,Port2,Port2,Port2,Port3,Port3,Port3,Port4,Port4,Port4,Port7,Port7,Port8,Port8
# Records: 486,ATMOS 14 Humidity/Temp/Barometer,ATMOS 14 Humidity/Temp/Barometer,ATMOS 14 Humidity/Temp/Barometer,ATMOS 14 Humidity/Temp/Barometer,ES-2 Conductivity/Temp,ES-2 Conductivity/Temp,ES-2 Conductivity/Temp,ES-2 Conductivity/Temp,ES-2 Conductivity/Temp,ES-2 Conductivity/Temp,Battery,Battery,Barometer,Barometer
Timestamps, degree_C Air Temperature, kPa Vapor Pressure, kPa Atmospheric Pressure, kPa VPD, mS/cm EC, degree_C Water Temperature, mS/cm Weighted EC, mS/cm EC, degree_C Water Temperature, mS/cm Weighted EC,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, degree_C Logger Temperature
07/22/2022 12:00:00 PM,32.0,1.852,100.43,2.91,1.718,16.5,1.718,0.0,17.0,0.0,100,8057,100.3,35.4
07/22/2022 12:15:00 PM,32.1,1.669,100.43,3.11,1.718,16.5,1.718,0.0,17.0,0.0,100,8068,100.3,35.8
07/22/2022 12:30:00 PM,32.2,1.648,100.43,3.16,1.718,16.5,1.718,0.0,17.0,0.0,100,8079,100.3,36.0
07/22/2022 12:45:00 PM,32.8,1.65,100.43,3.32,1.718,16.5,1.718,0.0,17.0,0.0,100,8091,100.3,36.6
07/22/2022 01:00:00 PM,32.4,1.586,100.44,3.28,1.722,16.5,1.722,0.0,17.0,0.0,100,8096,100.3,36.6
07/22/2022 01:15:00 PM,33.2,1.601,100.44,3.49,1.722,16.5,1.722,0.0,17.0,0.0,100,8108,100.3,37.0
07/22/2022 01:30:00 PM,32.4,1.49,100.44,3.38,1.71,16.5,1.71,0.0,17.1,0.0,100,8111,100.31,37.1
07/22/2022 01:45:00 PM,32.5,1.523,100.44,3.36,1.702,16.5,1.702,0.0,17.1,0.0,100,8119,100.3,36.6
07/22/2022 02:00:00 PM,33.2,1.477,100.43,3.6,1.702,16.5,1.702,0.0,17.1,0.0,100,8128,100.29,37.1
07/22/2022 02:15:00 PM,32.4,1.463,100.44,3.39,1.706,16.5,1.706,0.0,17.1,0.0,100,8129,100.3,36.8
07/22/2022 02:30:00 PM,32.0,1.41,100.43,3.36,1.706,16.5,1.706,0.0,17.1,0.0,100,8134,100.29,36.0
07/22/2022 02:45:00 PM,32.7,1.455,100.43,3.49,1.71,16.5,1.71,0.0,17.1,0.0,100,8139,100.29,36.1
07/22/2022 03:00:00 PM,32.9,1.43,100.44,3.56,1.71,16.5,1.71,0.0,17.1,0.0,100,8147,100.31,36.3
07/22/2022 03:15:00 PM,33.5,1.503,100.44,3.67,1.714,16.5,1.714,0.0,17.2,0.0,100,8152,100.31,37.1
07/22/2022 03:30:00 PM,33.9,1.481,100.44,3.82,1.718,16.5,1.718,0.0,17.1,0.0,100,8154,100.31,38.0
07/22/2022 03:45:00 PM,33.1,1.442,100.43,3.61,1.722,16.5,1.722,0.0,17.1,0.0,100,8159,100.3,37.6
07/22/2022 04:00:00 PM,33.2,1.436,100.43,3.64,1.722,16.5,1.722,0.0,17.1,0.0,100,8162,100.29,37.4
07/22/2022 04:15:00 PM,33.3,1.407,100.43,3.7,1.714,16.5,1.714,0.0,17.1,0.0,100,8164,100.29,37.6
07/22/2022 04:30:00 PM,33.6,1.44,100.44,3.76,1.718,16.5,1.718,0.0,17.1,0.0,100,8163,100.31,38.0
07/22/2022 04:45:00 PM,34.0,1.47,100.46,3.84,1.718,16.5,1.718,0.0,17.1,0.0,100,8164,100.33,38.3
07/22/2022 05:00:00 PM,33.6,1.425,100.47,3.79,1.718,16.5,1.718,0.0,17.1,0.0,100,8164,100.34,38.6
07/22/2022 05:15:00 PM,33.1,1.458,100.48,3.6,1.722,16.5,1.722,0.0,17.2,0.0,100,8161,100.35,37.8
07/22/2022 05:30:00 PM,33.4,1.541,100.47,3.61,1.718,16.5,1.718,0.0,17.2,0.0,100,8156,100.34,37.7
07/22/2022 05:45:00 PM,33.0,1.442,100.47,3.6,1.706,16.5,1.706,0.0,17.2,0.0,100,8157,100.34,37.5
07/22/2022 06:00:00 PM,32.7,1.453,100.47,3.5,1.714,16.5,1.714,0.0,17.2,0.0,100,8152,100.34,37.3
07/22/2022 06:15:00 PM,32.2,1.449,100.48,3.35,1.71,16.5,1.71,0.0,17.2,0.0,100,8143,100.34,36.4
07/22/2022 06:30:00 PM,31.9,1.463,100.48,3.27,1.718,16.5,1.718,0.0,17.2,0.0,100,8141,100.34,35.8
07/22/2022 06:45:00 PM,31.6,1.485,100.49,3.17,1.722,16.4,1.722,0.0,17.2,0.0,100,8137,100.36,35.1
07/22/2022 07:00:00 PM,31.2,1.495,100.51,3.06,1.718,16.4,1.718,0.0,17.2,0.0,100,8135,100.38,34.5
07/22/2022 07:15:00 PM,30.9,1.542,100.54,2.92,1.706,16.4,1.706,0.0,17.2,0.0,100,8132,100.4,33.9
07/22/2022 07:30:00 PM,30.2,1.531,100.55,2.77,1.71,16.4,1.71,0.0,17.2,0.0,100,8126,100.41,33.2
07/22/2022 07:45:00 PM,29.4,1.589,100.56,2.51,1.71,16.4,1.71,0.0,17.2,0.0,100,8125,100.42,31.9
07/22/2022 08:00:00 PM,28.9,1.726,100.57,2.26,1.706,16.4,1.706,0.0,17.2,0.0,100,8118,100.43,30.5
07/22/2022 08:15:00 PM,27.0,1.818,100.59,1.75,1.706,16.4,1.706,0.0,17.2,0.0,100,8118,100.44,28.8
07/22/2022 08:30:00 PM,24.6,1.866,100.61,1.23,1.706,16.4,1.706,0.0,17.2,0.0,100,8112,100.46,26.9
07/22/2022 08:45:00 PM,22.8,1.851,100.63,0.92,1.718,16.5,1.718,0.0,17.2,0.0,100,8114,100.48,25.1
07/22/2022 09:00:00 PM,21.6,1.812,100.64,0.77,1.718,16.5,1.718,0.0,17.2,0.0,100,8113,100.48,23.6
07/22/2022 09:15:00 PM,20.6,1.828,100.65,0.59,1.718,16.5,1.718,0.0,17.1,0.0,100,8108,100.5,22.3
07/22/2022 09:30:00 PM,19.5,1.818,100.68,0.45,1.714,16.5,1.714,0.0,17.1,0.0,100,8105,100.52,21.2
07/22/2022 09:45:00 PM,18.7,1.79,100.7,0.37,1.718,16.5,1.718,0.0,17.1,0.0,100,8104,100.54,20.2
07/22/2022 10:00:00 PM,18.2,1.769,100.7,0.32,1.714,16.5,1.714,0.0,17.1,0.0,100,8102,100.56,19.4
07/22/2022 10:15:00 PM,17.8,1.753,100.72,0.28,1.718,16.5,1.718,0.0,17.1,0.0,100,8102,100.58,18.7
07/22/2022 10:30:00 PM,17.5,1.746,100.73,0.25,1.718,16.5,1.718,0.0,17.1,0.0,100,8101,100.59,18.2
07/22/2022 10:45:00 PM,17.1,1.7,100.73,0.25,1.71,16.5,1.71,0.0,17.1,0.0,100,8099,100.59,17.7
07/22/2022 11:00:00 PM,16.8,1.674,100.73,0.24,1.71,16.5,1.71,0.0,17.1,0.0,100,8099,100.6,17.3
07/22/2022 11:15:00 PM,16.8,1.666,100.73,0.25,1.706,16.4,1.706,0.0,17.1,0.0,100,8099,100.6,17.0
07/22/2022 11:30:00 PM,16.6,1.657,100.73,0.23,1.706,16.4,1.706,0.0,17.1,0.0,100,8098,100.6,16.7
07/22/2022 11:45:00 PM,16.3,1.639,100.74,0.21,1.71,16.4,1.71,0.0,17.1,0.0,100,8097,100.6,16.5
07/23/2022 12:00:00 AM,16.4,1.664,100.75,0.2,1.702,16.4,1.702,0.0,17.1,0.0,100,8096,100.62,16.3
07/23/2022 12:15:00 AM,16.6,1.666,100.77,0.22,1.714,16.4,1.714,0.0,17.1,0.0,100,8073,100.64,16.4
07/23/2022 12:30:00 AM,16.6,1.662,100.78,0.22,1.706,16.4,1.706,0.0,17.1,0.0,100,8084,100.65,16.3
07/23/2022 12:45:00 AM,16.3,1.652,100.78,0.2,1.706,16.4,1.706,0.0,17.1,0.0,100,8084,100.65,16.1
07/23/2022 01:00:00 AM,16.5,1.652,100.79,0.22,1.71,16.4,1.71,0.0,17.1,0.0,100,8084,100.66,16.1
07/23/2022 01:15:00 AM,16.9,1.664,100.79,0.26,1.698,16.4,1.698,0.0,17.0,0.0,100,8084,100.67,16.1
07/23/2022 01:30:00 AM,16.6,1.638,100.8,0.25,1.702,16.4,1.702,0.0,17.1,0.0,100,8083,100.68,16.1
07/23/2022 01:45:00 AM,16.7,1.656,100.81,0.25,1.71,16.4,1.71,0.0,17.1,0.0,100,8084,100.69,16.1
07/23/2022 02:00:00 AM,16.7,1.652,100.82,0.24,1.71,16.4,1.71,0.0,17.0,0.0,100,8083,100.7,16.1
07/23/2022 02:15:00 AM,16.2,1.637,100.81,0.2,1.702,16.3,1.702,0.0,17.0,0.0,100,8083,100.69,15.9
07/23/2022 02:30:00 AM,16.1,1.642,100.81,0.18,1.694,16.3,1.694,0.0,17.0,0.0,100,8082,100.68,15.8
07/23/2022 02:45:00 AM,15.8,1.632,100.81,0.16,1.698,16.3,1.698,0.0,17.0,0.0,100,8080,100.68,15.6
07/23/2022 03:00:00 AM,15.6,1.64,100.82,0.13,1.694,16.3,1.694,0.0,17.0,0.0,100,8081,100.69,15.5
07/23/2022 03:15:00 AM,15.5,1.635,100.83,0.13,1.698,16.3,1.698,0.0,17.0,0.0,100,8083,100.71,15.4
07/23/2022 03:30:00 AM,15.3,1.635,100.83,0.1,1.69,16.3,1.69,0.0,17.0,0.0,100,8082,100.71,15.3
07/23/2022 03:45:00 AM,15.5,1.683,100.83,0.08,1.698,16.3,1.698,0.0,17.0,0.0,100,8080,100.71,15.4
07/23/2022 04:00:00 AM,15.9,1.734,100.84,0.07,1.698,16.3,1.698,0.0,17.0,0.0,100,8080,100.72,15.5
07/23/2022 04:15:00 AM,16.7,1.814,100.85,0.08,1.694,16.3,1.694,0.0,17.0,0.0,100,8079,100.74,15.7
07/23/2022 04:30:00 AM,17.2,1.819,100.86,0.14,1.694,16.3,1.694,0.0,17.0,0.0,100,8080,100.75,16.0
07/23/2022 04:45:00 AM,17.6,1.824,100.87,0.18,1.698,16.3,1.698,0.0,17.0,0.0,100,8081,100.76,16.2
07/23/2022 05:00:00 AM,17.7,1.828,100.88,0.19,1.702,16.3,1.702,0.0,17.0,0.0,100,8079,100.77,16.4
07/23/2022 05:15:00 AM,17.5,1.83,100.9,0.17,1.69,16.3,1.69,0.0,17.0,0.0,100,8083,100.79,16.5
